dataset_index,source_step_index,majority_label,majority_count,neutral_votes,correct_votes,incorrect_votes,vote_pattern,has_correct,has_incorrect,has_neutral,correct_incorrect_conflict,votes_sequence
59,4,neutral,3,3,0,2,3-2,0,1,1,0,neutral|neutral|incorrect|neutral|incorrect
59,5,incorrect,3,2,0,3,3-2,0,1,1,0,incorrect|incorrect|neutral|neutral|incorrect
59,14,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|incorrect|neutral|incorrect|incorrect
59,15,incorrect,4,1,0,4,4-1,0,1,1,0,neutral|incorrect|incorrect|incorrect|incorrect
59,16,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|neutral|incorrect|incorrect|incorrect
60,2,correct,3,2,3,0,3-2,1,0,1,0,correct|neutral|neutral|correct|correct
60,7,neutral,3,3,1,1,3-1-1,1,1,1,1,neutral|incorrect|neutral|correct|neutral
77,4,neutral,3,3,0,2,3-2,0,1,1,0,neutral|neutral|incorrect|neutral|incorrect
77,5,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|incorrect|incorrect|neutral|incorrect
77,6,neutral,3,3,0,2,3-2,0,1,1,0,incorrect|incorrect|neutral|neutral|neutral
77,7,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|incorrect|neutral|incorrect|incorrect
77,8,incorrect,3,2,0,3,3-2,0,1,1,0,incorrect|incorrect|neutral|incorrect|neutral
77,14,neutral,3,3,2,0,3-2,1,0,1,0,correct|neutral|neutral|correct|neutral
99,5,neutral,4,4,0,1,4-1,0,1,1,0,neutral|neutral|neutral|neutral|incorrect
99,6,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|incorrect|neutral|incorrect|incorrect
99,13,neutral,3,3,0,2,3-2,0,1,1,0,neutral|incorrect|incorrect|neutral|neutral
145,4,incorrect,4,1,0,4,4-1,0,1,1,0,incorrect|incorrect|incorrect|incorrect|neutral
