sample 1/5 | idx=77 | step 1/18 (source=1) | verdict=neutral
sample 1/5 | idx=77 | step 2/18 (source=2) | verdict=correct
sample 1/5 | idx=77 | step 3/18 (source=3) | verdict=correct
sample 1/5 | idx=77 | step 4/18 (source=4) | verdict=neutral
sample 1/5 | idx=77 | step 5/18 (source=5) | verdict=incorrect
sample 1/5 | idx=77 | step 6/18 (source=6) | verdict=incorrect
sample 1/5 | idx=77 | step 7/18 (source=7) | verdict=incorrect
sample 1/5 | idx=77 | step 8/18 (source=8) | verdict=incorrect
sample 1/5 | idx=77 | step 9/18 (source=9) | verdict=neutral
sample 1/5 | idx=77 | step 10/18 (source=10) | verdict=correct
sample 1/5 | idx=77 | step 11/18 (source=11) | verdict=correct
sample 1/5 | idx=77 | step 12/18 (source=12) | verdict=incorrect
sample 1/5 | idx=77 | step 13/18 (source=13) | verdict=incorrect
sample 1/5 | idx=77 | step 14/18 (source=14) | verdict=correct
sample 1/5 | idx=77 | step 15/18 (source=15) | verdict=correct
sample 1/5 | idx=77 | step 16/18 (source=16) | verdict=correct
sample 1/5 | idx=77 | step 17/18 (source=17) | verdict=neutral
sample 1/5 | idx=77 | step 18/18 (source=18) | verdict=incorrect
sample 2/5 | idx=59 | step 1/18 (source=1) | verdict=neutral
sample 2/5 | idx=59 | step 2/18 (source=2) | verdict=correct
sample 2/5 | idx=59 | step 3/18 (source=3) | verdict=correct
sample 2/5 | idx=59 | step 4/18 (source=4) | verdict=neutral
sample 2/5 | idx=59 | step 5/18 (source=5) | verdict=incorrect
sample 2/5 | idx=59 | step 6/18 (source=6) | verdict=correct
sample 2/5 | idx=59 | step 7/18 (source=7) | verdict=correct
sample 2/5 | idx=59 | step 8/18 (source=8) | verdict=correct
sample 2/5 | idx=59 | step 9/18 (source=9) | verdict=correct
sample 2/5 | idx=59 | step 10/18 (source=10) | verdict=correct
sample 2/5 | idx=59 | step 11/18 (source=11) | verdict=incorrect
sample 2/5 | idx=59 | step 12/18 (source=12) | verdict=incorrect
sample 2/5 | idx=59 | step 13/18 (source=13) | verdict=incorrect
sample 2/5 | idx=59 | step 14/18 (source=14) | verdict=incorrect
sample 2/5 | idx=59 | step 15/18 (source=15) | verdict=neutral
sample 2/5 | idx=59 | step 16/18 (source=16) | verdict=incorrect
sample 2/5 | idx=59 | step 17/18 (source=17) | verdict=correct
sample 2/5 | idx=59 | step 18/18 (source=18) | verdict=correct
sample 3/5 | idx=60 | step 1/16 (source=1) | verdict=neutral
sample 3/5 | idx=60 | step 2/16 (source=2) | verdict=correct
sample 3/5 | idx=60 | step 3/16 (source=3) | verdict=correct
sample 3/5 | idx=60 | step 4/16 (source=4) | verdict=correct
sample 3/5 | idx=60 | step 5/16 (source=5) | verdict=correct
sample 3/5 | idx=60 | step 6/16 (source=6) | verdict=correct
sample 3/5 | idx=60 | step 7/16 (source=7) | verdict=neutral
sample 3/5 | idx=60 | step 8/16 (source=8) | verdict=correct
sample 3/5 | idx=60 | step 9/16 (source=9) | verdict=correct
sample 3/5 | idx=60 | step 10/16 (source=10) | verdict=correct
sample 3/5 | idx=60 | step 11/16 (source=11) | verdict=correct
sample 3/5 | idx=60 | step 12/16 (source=12) | verdict=correct
sample 3/5 | idx=60 | step 13/16 (source=13) | verdict=correct
sample 3/5 | idx=60 | step 14/16 (source=14) | verdict=neutral
sample 3/5 | idx=60 | step 15/16 (source=15) | verdict=correct
sample 3/5 | idx=60 | step 16/16 (source=16) | verdict=neutral
