dataset_index,step_id,397B-nightly,120B
3,1,correct,neutral
6,5,neutral,correct
6,6,neutral,correct
6,9,correct,neutral
8,2,correct,neutral
8,4,correct,neutral
8,6,correct,neutral
13,1,neutral,correct
13,8,correct,incorrect
23,3,neutral,correct
23,5,correct,neutral
23,6,correct,neutral
26,3,neutral,correct
26,5,neutral,correct
28,1,neutral,correct
28,3,correct,neutral
28,4,neutral,correct
28,5,neutral,incorrect
29,5,correct,neutral
29,6,correct,incorrect
45,1,correct,neutral
51,2,correct,neutral
51,3,correct,neutral
51,5,incorrect,neutral
56,4,correct,neutral
56,6,correct,incorrect
58,6,neutral,correct
62,4,neutral,correct
62,9,correct,incorrect
67,1,correct,neutral
77,4,correct,neutral
77,6,correct,neutral
77,8,correct,neutral
79,1,neutral,correct
79,2,correct,neutral
79,3,neutral,correct
100,8,neutral,correct
102,1,correct,neutral
103,7,correct,neutral
122,2,neutral,correct
122,3,neutral,incorrect
122,4,correct,neutral
126,2,correct,neutral
126,3,neutral,correct
126,4,neutral,incorrect
135,5,neutral,correct
137,1,correct,neutral
138,2,correct,neutral
138,6,correct,incorrect
140,2,neutral,correct
140,4,neutral,correct
140,5,neutral,correct
141,1,correct,neutral
141,2,neutral,correct
141,5,neutral,correct
141,6,neutral,correct
146,1,correct,neutral
146,4,correct,neutral
152,7,neutral,correct
154,1,correct,neutral
154,5,neutral,correct
154,7,neutral,correct
154,9,correct,neutral
155,1,correct,neutral
155,5,correct,neutral
155,6,neutral,incorrect
157,1,neutral,correct
157,3,neutral,correct
157,8,correct,incorrect
158,1,neutral,correct
158,3,neutral,correct
158,4,neutral,incorrect
161,1,correct,neutral
161,5,correct,neutral
161,6,correct,neutral
161,7,incorrect,neutral
161,8,neutral,incorrect
169,7,neutral,correct
169,8,neutral,correct
169,9,neutral,incorrect
170,1,neutral,correct
170,2,neutral,correct
173,4,neutral,correct
173,8,correct,incorrect
181,1,neutral,correct
190,2,correct,neutral
190,3,neutral,correct
190,5,neutral,incorrect
191,1,correct,neutral
191,8,correct,neutral
194,2,correct,neutral
194,3,neutral,correct
194,4,neutral,correct
194,6,neutral,correct
194,7,neutral,correct
194,9,correct,neutral
195,3,neutral,correct
195,4,correct,incorrect
195,5,correct,neutral
196,1,correct,neutral
196,8,neutral,incorrect
